rusShare_0804dacecda7dbdf9409587: FGGDKNHB80DDGBBBVVFBBBHFFDBEJNFGGDKNCCCBDBEV*VB9DFBHFDBDDTFV4DBBBI4DAAAHDDIYDADAHBNDMBAAAAAAAAAAAAAAA
rusShare_440d2881b70056904cba2e3: FGGDKNB80DDGBBBVVBBHDEJNFGGDKNCCCBDBEV*VB9DFBHFDBDDTFV4DBBBI4DAAAHDDIYDADAHBNDMBAAAAAAAAAAAAAAAAAAAAA
rusShare_14b3e43121283cc9d68f80b: FGGDKN11111B1111111111111BBBBBHHFBFHBFBBDFGDDD26
rusShare_17cb7e5842977414b9565ff: FGGDKNCCCBCCCCB80DDGBBBVVBHDBEJNFGGDKNCCCBDBEV*VB9DFBHFDBDDTFV4DBBBI4DAAAHDDIYDADAHBNDMBAAAAAAAAAAAAA
rusShare_2b2b63ad92c0b7fac65ba47: FGGDKNEPBBBBBFFHBHHBFBBDFGDDBD26
rusShare_14af1b490abe6b3974e5e5d: FGGDKNBBFBFBFFHBHHFBBDFGDDD26
rusShare_42e4ac63456c10590f88825: FGGDKNBBFBFBFFHBHHFBBDFGDDD26
rusShare_09de31b2213fd464a8d4ac4: FGGDKNBDHBFBBFDBBBBBBDDC*TFV4DGDDGFNBBHBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
rusShare_409a98e028686c80147f872: FGGDKNFFBBFBBBBBFFHBHHBFBBDFGDDD26
rusShare_320fffc23559d4f6df46adf: FGGDKNBBBBFFBBFBFFHBHHFBBDFGDDD26
rusShare_23c5babf981f7fc3a72f337: FGGDKNBBBBBBHHBFBFBBHDFGDDD26
rusShare_15811558d3e72646928f46d: FGGDKNPBBBBB8C0DDGBBBVVBBHDEJNFGGDKNCCCBDBEV*VB9DFBHFDBDDTFV4DBBBI4DAAAHDDIYDADAHBNDMBAAAAAAAAAAAAAAA
rusShare_225d31854cc0eac63a0bb31: FGGDKNHIGDDGBBBFHHBFBBDBFDDVBU*A****************HW*FHB****RR*PR*VVVVVLDCEJN*FGGDKNHIEGDDGBEEEBEFEEBEE
rusShare_0b86b1ca87b74a616f91a10: FGGDKNHB80DDGBBBVVBBHDEJNFGGDKNCCCBDBEV*VB9DFBHFDBDDTFV4DBBBI4DAAAHDDIYDADAHBNDMBAAAAAAAAAAAAAAAAAAAA
rusShare_332be0f072326e0621962d3: FGGDKNPBBBBBBBFFHBHHFBBDFGDDD26
rusShare_2907b7fe7f8d7ec72b908c6: FGGDKN8C0DDGBBBVVBBHDEBJNFGGDKNCCCBDBEV*VB9DFBHFDBDDTFV4DBBBI4DAAAHDDIYDADAHBNDMBAAAAAAAAAAAAAAAAAAAA
